food_name,calories,protein,fat,carbs
tea,250,4.54,8.33,79.62
poha,494,25.51,13.31,60.65
poha,393,6.76,17.39,66.52
orange,441,21.32,23.57,34.91
dal,277,3.08,11.56,62.45
juice,96,3.0,9.61,70.0
chicken_curry,425,28.55,10.83,79.04
dosa,311,15.78,20.94,58.66
orange,297,1.61,5.12,67.5
salad,305,13.52,16.83,67.49
milk,373,27.46,15.41,77.38
pizza,151,25.32,6.84,21.59
pasta,354,17.92,15.23,19.56
pizza,462,5.22,16.43,29.55
upma,453,16.59,8.83,33.38
salad,152,23.54,5.13,35.04
paneer,232,21.69,10.12,58.65
orange,222,3.22,16.72,60.19
idli,237,9.83,9.87,5.65
juice,132,1.66,6.67,69.2
coffee,145,10.28,9.86,72.15
cake,378,29.0,23.84,6.31
poha,277,19.6,18.49,10.0
orange,355,23.06,15.05,53.99
burger,60,14.5,19.63,74.3
noodles,416,11.67,5.01,47.42
poha,268,5.02,3.28,73.66
fried_rice,215,17.95,8.14,22.61
salad,382,2.14,16.09,56.25
tea,64,6.93,3.18,59.04
cake,482,5.33,12.48,13.39
egg_omelette,339,13.31,15.92,54.88
sandwich,175,7.02,4.87,63.41
cake,476,24.04,24.33,16.59
fish_fry,298,11.35,11.54,20.93
pizza,60,24.7,14.69,72.94
idli,74,3.49,8.34,32.28
dal,468,4.06,23.63,28.72
tofu,477,19.23,8.7,72.08
upma,134,10.87,14.31,66.22
upma,326,17.5,9.02,12.81
sambar,93,4.65,3.58,18.27
coffee,201,27.82,15.75,51.99
orange,171,6.88,3.59,35.33
sambar,494,2.73,17.97,60.06
fried_rice,362,9.59,10.17,12.06
pizza,492,8.55,14.29,46.2
noodles,234,17.01,22.08,45.67
fish_fry,412,13.5,14.88,31.87
chapati,433,3.42,5.45,37.26
sambar,154,18.72,16.06,12.81
idli,471,4.96,24.44,45.07
cake,51,7.5,17.74,41.77
grapes,476,14.52,6.72,49.64
upma,209,26.75,5.67,74.48
banana,113,10.19,6.71,57.17
milk,246,25.43,15.05,19.52
salad,57,22.48,24.94,72.97
banana,115,29.37,3.1,56.0
fried_rice,178,9.45,13.79,11.06
dal,179,6.19,14.89,23.28
upma,458,6.4,15.56,65.36
ice_cream,312,13.03,15.77,13.18
fish_fry,152,27.85,3.42,38.64
fish_fry,336,12.29,20.34,16.86
idli,168,21.57,20.72,35.28
milk,193,12.71,9.18,54.27
apple,214,11.97,18.49,36.73
fried_rice,330,14.56,16.22,72.39
pasta,356,4.98,17.11,35.99
pizza,256,6.3,24.8,67.53
upma,203,2.58,16.4,25.85
noodles,75,3.66,5.97,68.97
banana,426,15.6,21.63,22.46
egg_omelette,229,9.92,1.18,7.32
pizza,341,15.8,15.83,14.37
coffee,335,26.46,23.84,61.25
fish_fry,392,6.4,9.61,50.13
tea,420,16.26,2.58,55.69
sambar,380,7.41,2.87,53.44
pizza,274,17.52,14.49,22.02
pizza,445,3.06,3.28,30.79
egg_omelette,107,3.15,6.74,38.49
dosa,129,18.41,17.96,48.67
pasta,171,15.78,19.89,15.9
tofu,452,15.91,22.74,76.66
ice_cream,201,5.09,10.92,51.91
coffee,455,10.49,17.14,11.65
pasta,217,3.59,21.96,17.98
coffee,294,20.09,21.01,5.49
banana,98,13.28,2.85,39.48
idli,60,17.06,11.61,52.61
coffee,422,24.21,21.84,12.9
poha,479,6.88,7.93,58.82
chicken_curry,255,22.55,22.33,23.01
poha,327,18.83,8.4,71.07
upma,259,11.57,7.81,25.68
fish_fry,263,27.73,18.88,23.39
pasta,378,14.92,12.93,28.21
sambar,487,22.34,3.43,63.43
dosa,406,23.28,12.27,39.15
tea,243,21.72,20.34,19.51
pasta,431,1.49,7.73,18.21
paneer,225,6.32,23.78,37.33
banana,361,25.38,2.03,65.44
pizza,247,22.41,13.94,62.34
juice,92,5.03,7.21,20.54
coffee,457,4.02,4.63,55.67
pizza,218,27.0,5.07,73.64
cake,265,16.89,19.7,47.12
dal,438,16.36,22.3,62.33
fried_rice,317,16.74,6.36,50.13
chicken_curry,326,2.85,10.67,38.75
chicken_curry,387,23.49,11.56,76.92
fried_rice,287,10.17,13.05,26.88
upma,467,5.18,19.36,75.61
salad,301,7.24,4.26,61.0
fried_rice,56,25.6,12.8,42.25
rice,157,1.85,21.04,22.52
pizza,296,25.3,23.85,51.29
tea,201,27.85,8.92,46.69
tea,119,22.14,19.58,30.59
orange,469,7.39,14.48,72.5
dal,385,6.68,16.14,21.57
upma,330,9.92,10.44,48.89
dosa,120,20.52,5.59,7.62
banana,81,18.08,19.95,62.2
tea,421,13.13,9.85,24.43
dal,430,6.06,16.62,69.21
milk,465,22.34,21.97,12.47
sambar,145,25.98,17.16,25.96
fish_fry,444,22.22,9.24,40.54
apple,167,18.4,9.36,32.54
chicken_curry,417,20.44,24.47,38.12
rice,362,19.6,21.54,22.94
upma,210,28.09,21.13,49.13
idli,253,2.68,16.78,19.58
chicken_curry,462,15.92,6.35,11.62
coffee,411,10.07,4.95,62.0
idli,488,9.16,11.7,15.8
chicken_curry,58,5.92,0.85,18.42
tofu,396,3.62,2.54,79.55
dosa,456,14.49,18.51,79.44
cake,484,1.81,24.9,7.74
idli,155,11.38,23.79,9.98
paneer,444,6.86,12.62,54.88
coffee,109,29.56,5.34,7.28
sandwich,148,12.1,12.74,70.03
coffee,181,15.7,18.15,58.24
grapes,99,1.39,7.9,43.11
milk,211,13.21,19.67,59.65
upma,161,25.05,8.71,35.69
chicken_curry,474,4.65,12.63,56.36
cake,254,20.54,9.59,59.09
juice,197,1.61,4.19,22.64
orange,391,13.81,13.93,35.68
tofu,149,21.35,7.62,41.49
paneer,392,27.19,1.23,70.74
egg_omelette,185,25.21,5.64,12.87
dal,200,12.96,5.41,79.84
fish_fry,149,18.82,2.39,47.54
banana,428,8.67,11.15,13.0
salad,147,1.39,20.45,24.01
cake,381,22.33,14.67,77.39
tofu,82,29.01,16.09,58.51
sandwich,439,3.22,5.19,64.18
sambar,290,23.13,20.11,70.33
pizza,289,27.21,2.78,32.14
chapati,151,6.19,5.25,9.32
chicken_curry,453,5.92,12.18,71.0
ice_cream,132,25.27,24.47,29.21
pizza,227,11.61,13.16,64.11
orange,201,24.03,24.74,77.1
dosa,108,8.9,12.16,25.21
orange,241,3.27,5.79,34.98
orange,238,4.85,14.21,7.01
burger,124,19.04,6.84,36.53
poha,229,28.96,20.51,34.3
tea,86,26.72,8.72,8.95
banana,347,26.06,17.48,6.39
dal,247,3.12,16.25,70.21
banana,237,8.65,1.55,76.32
fish_fry,175,25.8,18.46,36.55
chapati,444,11.01,3.56,78.25
orange,264,7.21,15.07,63.64
juice,218,28.86,7.34,44.29
rice,61,18.97,23.39,61.59
fried_rice,185,27.13,20.26,74.42
sandwich,79,6.01,2.01,19.11
noodles,200,18.37,3.19,24.28
ice_cream,92,20.36,19.01,7.1
apple,448,20.57,3.01,35.88
egg_omelette,95,27.1,24.76,17.73
fried_rice,414,24.03,6.61,41.34
paneer,108,13.4,5.0,29.31
banana,196,16.44,8.75,69.88
rice,90,3.17,6.89,54.2
dosa,317,29.21,9.63,17.96
upma,350,1.3,19.5,68.92
noodles,339,11.51,7.27,42.47
burger,285,24.77,8.18,17.73
tea,452,4.43,4.11,25.84
pasta,288,20.63,14.33,52.41
grapes,471,21.78,0.97,51.45
banana,292,20.53,9.15,41.37
sandwich,471,24.89,9.64,18.75
salad,250,24.24,19.99,61.33
milk,304,24.52,14.17,19.87
fish_fry,277,28.35,14.81,26.03
dosa,302,28.4,5.5,31.16
fried_rice,460,22.87,10.54,17.18
grapes,325,7.26,6.33,48.14
cake,451,9.07,3.5,56.76
pizza,94,25.07,8.67,36.34
juice,235,7.37,14.09,72.39
tofu,154,18.91,14.14,22.96
sandwich,380,21.34,19.13,24.25
pizza,96,14.44,3.5,69.5
tea,455,3.74,19.77,35.66
tea,408,28.63,17.18,49.13
pizza,227,10.34,19.02,76.79
paneer,385,26.52,15.1,58.48
noodles,494,24.19,14.49,75.83
idli,115,7.91,22.83,15.78
milk,447,1.64,19.29,55.78
chicken_curry,377,15.01,1.54,28.69
apple,258,12.41,10.66,75.11
chicken_curry,277,22.01,7.31,21.79
ice_cream,123,13.54,2.95,15.34
egg_omelette,332,20.45,8.65,61.99
pasta,134,27.86,9.89,14.82
apple,292,12.49,16.12,73.67
cake,51,24.97,0.63,54.17
tofu,70,25.25,23.43,56.3
sambar,271,18.25,17.07,25.44
banana,86,20.72,5.5,32.76
poha,245,22.96,10.3,23.66
dal,370,17.68,3.22,37.57
egg_omelette,162,16.54,0.66,52.46
juice,333,21.78,6.67,65.52
chicken_curry,359,19.62,13.03,23.77
sandwich,291,19.39,4.49,44.1
rice,119,23.99,2.96,36.42
chapati,239,10.37,23.31,21.14
sambar,127,13.79,23.63,20.93
chicken_curry,131,2.39,12.87,58.33
paneer,231,11.44,10.47,53.59
juice,482,6.91,24.17,6.4
banana,317,6.74,11.81,15.15
orange,138,10.97,5.85,70.26
milk,416,24.73,6.31,76.06
upma,385,2.31,8.95,55.18
orange,105,22.68,6.07,36.17
chicken_curry,288,24.9,12.01,39.53
salad,132,17.18,8.97,6.77
chapati,212,10.57,4.18,51.12
salad,401,10.38,1.08,67.66
fried_rice,235,13.97,18.61,15.01
tofu,377,16.1,16.97,27.58
dosa,225,12.79,2.39,16.54
banana,241,4.37,13.88,71.72
tofu,224,7.67,4.98,39.61
dal,388,14.37,22.97,43.73
chicken_curry,442,9.67,12.21,53.98
milk,169,3.24,6.04,63.8
milk,436,12.81,12.56,16.3
rice,306,3.19,19.96,26.98
upma,367,10.32,20.21,32.16
grapes,436,19.77,12.14,25.92
fried_rice,158,27.85,15.2,22.47
dosa,148,28.95,5.2,11.26
chapati,298,22.3,9.79,72.84
poha,149,7.82,17.15,60.87
pasta,201,20.74,19.92,73.39
banana,204,15.36,24.26,10.19
orange,356,12.41,12.08,11.69
grapes,268,6.8,13.8,73.47
orange,137,28.25,15.65,57.19
chapati,126,28.5,16.4,77.52
burger,492,17.27,19.77,79.47
rice,129,17.86,2.73,7.78
pasta,476,1.54,23.54,10.1
egg_omelette,88,5.28,22.73,55.43
poha,389,28.72,5.43,73.97
dosa,436,11.43,21.09,21.08
idli,389,21.11,22.46,11.79
fish_fry,401,21.93,12.26,25.4
paneer,252,1.97,1.76,64.36
fried_rice,360,18.47,9.08,7.39
poha,305,27.13,17.97,57.83
grapes,330,24.82,13.93,74.17
pasta,382,23.02,5.22,18.02
banana,421,18.44,1.34,19.02
dal,402,25.67,4.72,37.47
burger,300,13.3,22.8,22.11
grapes,111,7.28,0.68,73.98
upma,414,29.97,8.28,29.84
pizza,490,28.18,3.77,35.47
apple,458,6.7,11.82,33.78
poha,395,3.79,19.34,34.49
rice,275,19.54,10.13,45.46
ice_cream,426,14.51,2.95,5.89
fried_rice,358,10.45,4.13,34.13
juice,438,15.08,22.4,32.38
chicken_curry,275,28.1,23.57,51.38
banana,408,20.7,20.47,58.01
chapati,197,5.26,13.45,7.14
poha,114,29.89,22.36,53.96
poha,152,21.23,24.41,27.86
apple,346,4.62,8.06,19.43
milk,51,19.37,17.12,45.64
pasta,56,4.22,20.91,78.26
chapati,421,22.03,0.71,32.92
dosa,293,3.73,4.16,58.93
egg_omelette,489,27.84,22.01,79.3
paneer,273,8.46,10.31,79.97
apple,452,8.76,23.12,56.29
egg_omelette,58,10.22,4.96,42.47
dal,61,8.86,12.96,28.97
dal,185,9.74,19.81,63.98
cake,263,12.43,8.77,68.15
grapes,320,1.92,2.26,48.05
poha,266,1.08,3.09,29.05
tea,166,26.73,15.05,46.61
upma,402,23.51,12.2,79.92
chapati,89,6.82,21.58,41.63
grapes,68,13.54,16.89,22.42
cake,72,4.2,18.54,54.66
milk,370,29.84,6.4,74.1
chicken_curry,271,15.38,6.45,10.16
upma,142,18.83,6.79,34.06
chicken_curry,214,27.41,12.8,52.43
milk,197,17.03,15.31,63.08
dosa,308,1.5,5.64,15.67
banana,393,3.24,0.92,22.42
cake,70,9.69,4.64,62.15
apple,105,17.09,24.42,12.3
idli,487,17.5,13.31,31.86
noodles,170,20.92,8.67,35.6
noodles,73,20.86,4.69,44.71
rice,138,11.33,2.61,76.42
fish_fry,112,11.75,20.56,42.4
upma,243,22.69,23.93,43.84
pasta,220,5.7,14.51,60.88
noodles,490,11.28,16.01,28.17
egg_omelette,87,17.62,5.43,16.92
pizza,454,16.73,5.04,52.87
chapati,138,23.55,20.52,36.67
paneer,278,5.66,12.1,64.55
noodles,269,9.85,18.11,13.12
rice,118,19.14,14.63,8.44
chapati,79,14.23,17.63,48.73
upma,266,14.66,4.68,27.94
paneer,360,8.32,14.07,8.36
fish_fry,280,13.45,21.74,55.79
sandwich,95,26.44,14.4,44.34
juice,101,4.36,24.75,59.07
orange,273,7.12,23.37,21.46
idli,85,9.36,7.85,31.87
chicken_curry,405,29.95,8.6,29.22
salad,455,21.06,20.34,47.3
upma,261,2.12,18.48,64.34
sandwich,384,25.98,9.83,17.23
grapes,285,20.35,4.96,17.97
pizza,359,19.74,23.28,29.37
poha,391,13.52,16.2,70.41
dosa,347,12.35,10.94,11.87
cake,458,25.4,15.31,27.04
chicken_curry,89,24.74,10.16,60.72
dosa,61,18.46,9.62,32.19
dosa,416,29.04,14.41,35.25
milk,344,13.71,24.04,78.82
juice,486,5.67,6.8,34.7
pizza,155,22.94,19.89,17.5
tea,326,14.94,13.47,21.83
pizza,460,23.0,11.92,17.99
orange,243,3.59,9.85,66.26
dosa,454,24.99,8.74,19.05
egg_omelette,292,15.48,12.64,28.89
paneer,152,24.62,2.32,62.11
fried_rice,66,8.72,9.02,63.24
coffee,387,19.49,19.38,33.46
burger,358,3.18,3.8,77.67
paneer,145,27.59,10.11,41.97
grapes,402,19.01,4.13,43.77
apple,59,6.81,10.19,51.77
paneer,116,21.87,21.65,21.49
fish_fry,149,16.37,4.17,75.83
cake,133,11.66,21.43,51.7
poha,455,6.74,24.82,58.18
milk,290,6.22,5.46,68.75
fried_rice,432,3.46,7.95,62.42
ice_cream,166,22.48,14.83,71.14
sandwich,483,26.38,2.18,42.71
noodles,87,17.49,5.57,17.94
apple,286,9.84,7.28,77.96
dosa,450,12.83,4.97,41.7
dosa,387,13.13,21.21,67.05
chapati,385,26.34,1.26,26.57
pasta,223,6.59,18.87,20.52
dosa,386,19.57,20.51,29.12
pasta,55,25.34,9.71,39.58
milk,328,5.35,13.03,46.28
cake,442,2.41,22.7,25.53
milk,315,25.46,23.04,79.21
upma,482,5.94,9.67,70.09
ice_cream,484,4.08,6.34,22.54
salad,236,28.4,6.98,47.38
paneer,251,29.85,0.53,20.33
egg_omelette,483,24.43,3.14,17.12
fried_rice,67,4.12,4.23,70.2
cake,180,22.85,6.5,71.44
burger,390,25.94,2.72,25.13
milk,254,5.29,19.65,20.01
fish_fry,390,1.17,7.24,26.72
pasta,189,15.99,1.0,10.48
upma,276,15.76,21.86,75.5
tea,138,7.19,10.17,25.74
dosa,340,11.27,5.43,51.89
noodles,367,29.38,0.65,55.58
pizza,285,24.29,8.65,57.46
tea,333,14.33,11.73,69.42
salad,178,18.91,12.81,29.01
dal,85,22.21,9.97,41.72
chicken_curry,475,25.42,16.98,58.29
paneer,263,14.56,22.99,64.62
orange,272,19.91,13.18,27.46
grapes,446,3.19,10.94,14.87
chicken_curry,370,21.64,5.11,43.15
cake,354,28.9,11.51,31.68
orange,309,22.98,17.66,76.91
ice_cream,65,26.99,8.67,63.09
milk,432,23.0,19.12,41.19
orange,415,25.91,8.51,62.89
noodles,244,19.76,10.62,44.04
sambar,452,19.75,16.78,59.52
rice,341,28.99,3.7,14.05
dal,140,14.62,16.14,20.28
fried_rice,176,6.95,23.24,27.02
coffee,265,28.2,4.79,31.53
salad,332,6.56,4.6,61.31
egg_omelette,489,15.55,5.08,49.97
apple,90,19.07,2.9,68.07
cake,208,10.75,3.55,18.69
dal,429,15.05,15.18,7.35
sandwich,435,28.62,5.24,28.66
idli,138,9.41,6.83,56.91
rice,52,19.96,17.02,6.74
burger,411,28.9,21.62,41.87
juice,261,22.89,8.84,67.4
rice,417,7.73,11.21,79.18
pasta,342,9.11,19.39,77.4
burger,184,1.23,10.99,32.75
dal,122,15.2,11.59,34.13
milk,51,19.57,4.17,24.51
coffee,236,15.17,7.81,27.51
sandwich,462,9.6,22.62,25.74
chicken_curry,302,13.99,7.39,26.94
tea,487,15.49,8.68,34.42
dal,171,13.67,19.87,51.37
poha,231,14.75,13.72,8.88
juice,320,23.08,5.94,27.55
cake,311,19.51,2.49,39.6
coffee,445,9.0,14.43,22.34
dal,202,19.86,3.67,27.93
burger,249,1.48,3.25,66.19
ice_cream,114,17.45,5.39,49.53
pasta,84,10.13,17.45,73.71
orange,464,23.32,19.58,42.74
salad,486,1.09,1.52,27.28
chapati,477,23.62,9.16,49.34
cake,229,13.22,13.79,35.61
burger,467,13.83,21.77,45.06
burger,66,8.27,8.92,58.09
orange,64,17.47,3.8,74.78
upma,440,1.38,13.99,15.07
fish_fry,150,11.15,14.28,54.98
pizza,368,18.4,12.27,21.13
upma,366,2.61,22.19,72.22
dosa,437,24.09,12.67,25.93
sambar,299,12.87,19.93,74.52
milk,85,14.96,19.09,39.17
pasta,62,17.63,9.65,37.71
ice_cream,329,3.75,10.42,30.03
ice_cream,423,3.17,22.66,16.0
noodles,348,8.71,3.2,9.42
salad,417,19.04,1.14,59.35
banana,177,4.71,8.22,53.9
rice,270,7.32,10.16,52.63
pizza,61,12.15,21.39,27.32
poha,311,8.04,20.7,49.91
dosa,454,9.18,9.55,62.17
pasta,292,26.65,16.06,57.75
juice,447,14.53,14.05,53.64
poha,324,15.92,9.2,66.2
banana,346,11.71,14.75,55.4
paneer,300,22.61,15.39,6.21
grapes,143,26.84,24.31,28.01
sambar,390,9.8,22.15,47.11
sambar,397,27.38,9.01,60.53
noodles,85,5.88,12.92,32.72
chapati,320,20.53,18.45,46.44
juice,437,6.25,3.78,73.38
egg_omelette,149,4.86,8.65,31.44
poha,499,1.91,11.19,11.25
ice_cream,179,9.01,12.75,65.05
chicken_curry,73,3.46,24.81,38.77
cake,406,6.2,10.39,13.21
apple,124,21.0,12.19,51.64
banana,472,23.89,16.51,10.44
tofu,236,26.95,16.79,46.73
orange,95,1.26,2.49,42.06
sambar,175,25.76,16.89,34.74
paneer,391,14.82,11.32,27.04
paneer,376,7.3,4.89,40.23
salad,246,26.26,19.24,26.2
chicken_curry,108,23.73,23.3,50.23
egg_omelette,376,18.99,17.89,8.73
coffee,244,13.37,4.38,59.5
ice_cream,437,19.26,7.36,45.81
sandwich,287,1.91,17.38,27.21
fried_rice,401,17.4,8.82,40.13
rice,207,18.91,6.75,31.0
tea,328,18.19,0.68,30.99
tofu,327,14.02,18.96,11.38
cake,448,8.13,23.59,10.95
chapati,366,3.54,16.59,41.97
egg_omelette,112,6.66,21.51,56.4
rice,465,21.68,18.14,41.94
chicken_curry,67,9.19,15.01,74.58
banana,198,22.34,0.83,53.69
orange,360,9.34,4.18,49.61
banana,405,2.09,12.66,65.48
sandwich,472,17.12,20.75,28.0
chapati,268,28.1,9.78,71.76
egg_omelette,267,23.6,20.33,7.8
burger,318,2.51,1.9,35.79
coffee,232,22.19,20.01,38.25
juice,348,6.46,17.74,16.09
dal,238,20.33,18.66,44.84
sandwich,492,13.07,10.71,47.23
fish_fry,304,17.59,5.54,14.65
idli,173,2.3,11.18,76.21
salad,221,5.46,11.41,53.86
milk,157,4.7,19.66,60.67
egg_omelette,438,19.97,23.13,43.33
ice_cream,293,18.96,9.72,12.74
grapes,372,27.4,15.43,6.65
fried_rice,102,7.13,24.04,16.08
tea,491,28.6,21.75,32.01
tea,134,12.25,14.4,79.58
sandwich,128,24.52,2.98,7.14
poha,427,20.66,10.49,30.22
fish_fry,199,7.14,12.02,46.19
tofu,52,29.62,17.44,9.45
upma,248,6.45,13.48,55.07
sambar,415,5.45,8.77,48.93
milk,191,17.5,6.45,34.87
grapes,155,15.64,17.2,11.92
sandwich,429,28.86,19.58,30.57
chicken_curry,331,28.8,1.65,29.92
sambar,142,7.4,20.82,57.19
sandwich,116,27.43,9.2,68.24
chicken_curry,447,12.29,8.63,36.31
burger,436,4.17,17.71,36.45
dosa,97,9.14,17.84,22.79
milk,421,13.41,14.97,30.74
paneer,467,22.68,18.0,71.41
fried_rice,77,24.99,13.57,75.78
fried_rice,254,28.62,4.27,21.62
tea,206,24.38,14.63,70.8
coffee,259,11.55,15.93,29.15
tofu,106,12.91,23.84,37.34
salad,444,22.58,23.03,16.03
juice,163,24.26,18.2,41.03
egg_omelette,55,21.87,20.07,43.94
banana,176,26.79,11.08,38.17
apple,296,11.98,8.18,30.62
rice,130,12.42,2.83,50.67
salad,353,4.12,21.77,42.24
dosa,81,23.19,2.62,6.57
ice_cream,275,26.39,3.12,6.99
fried_rice,182,20.02,18.12,77.35
burger,64,1.32,9.24,17.13
idli,145,21.11,18.97,77.83
idli,468,19.96,21.69,17.12
ice_cream,319,8.68,1.33,18.83
grapes,86,9.44,3.2,12.41
orange,462,25.76,8.09,56.13
paneer,166,5.76,5.74,40.25
cake,86,22.06,2.12,62.11
grapes,464,17.9,16.69,22.35
apple,174,1.13,12.82,35.99
juice,471,3.17,23.14,69.17
rice,60,23.43,1.48,49.01
burger,463,20.42,20.76,77.73
idli,300,2.37,17.8,29.74
dosa,101,5.53,5.86,60.0
salad,476,17.62,5.82,34.08
apple,490,21.81,0.98,43.52
orange,161,13.61,11.02,40.75
grapes,166,3.31,17.41,24.08
chicken_curry,343,7.58,16.12,72.02
burger,214,1.35,11.14,59.8
sandwich,52,5.75,16.81,17.29
upma,282,4.74,18.14,9.89
poha,63,19.02,11.52,60.94
salad,87,20.58,15.13,65.79
apple,352,15.98,23.11,8.43
chapati,214,4.35,18.4,51.12
chicken_curry,282,18.36,8.81,35.42
fried_rice,69,10.03,4.81,60.05
orange,426,3.5,10.79,36.17
chicken_curry,419,20.9,13.62,66.9
dosa,355,24.96,2.37,43.84
rice,429,15.54,4.86,57.28
juice,409,15.4,11.51,36.76
paneer,293,15.33,20.64,75.77
sandwich,298,22.06,7.09,6.84
chapati,479,18.04,17.86,18.64
grapes,220,24.21,9.57,14.35
dosa,427,7.5,21.14,75.86
chapati,205,25.48,15.21,26.35
apple,426,24.36,6.99,69.51
fried_rice,295,22.06,20.48,58.24
orange,82,25.33,12.89,32.81
fish_fry,102,6.56,24.85,43.25
ice_cream,331,12.62,12.93,41.12
dal,329,15.23,3.46,26.87
noodles,446,11.14,5.94,27.46
paneer,351,2.28,7.5,40.44
pizza,294,2.08,14.63,63.81
apple,455,7.26,9.99,25.43
chapati,336,10.86,6.26,47.11
juice,475,20.43,4.54,19.46
poha,288,11.18,5.81,32.44
burger,182,22.6,10.68,74.82
pizza,190,1.37,20.63,60.7
pasta,415,5.69,12.18,51.41
orange,147,26.38,9.07,57.53
rice,494,26.01,20.96,43.81
milk,269,7.82,8.72,52.4
juice,385,4.16,4.61,57.64
pasta,423,20.28,4.63,41.24
chicken_curry,276,23.93,4.69,11.46
grapes,293,3.4,19.35,75.73
coffee,489,25.75,2.52,10.33
cake,347,3.22,17.54,32.32
paneer,339,11.22,4.9,29.91
sandwich,422,14.77,0.93,14.71
chicken_curry,190,4.29,22.62,75.81
salad,114,26.1,12.62,64.45
sandwich,362,4.16,8.17,49.11
coffee,170,17.74,15.47,42.93
chicken_curry,305,1.39,11.67,7.91
egg_omelette,246,9.77,20.65,63.12
milk,335,1.44,13.81,60.88
noodles,213,17.43,13.88,61.74
poha,153,23.65,13.7,26.96
sandwich,449,29.85,4.04,54.56
fish_fry,286,21.73,10.22,10.15
fried_rice,146,29.71,1.88,62.87
dosa,431,12.77,7.38,9.7
idli,191,8.98,21.9,74.52
tea,278,9.91,23.32,58.49
pizza,407,3.01,8.55,17.07
orange,140,7.54,4.82,70.75
grapes,403,27.13,4.15,27.65
banana,207,4.79,14.77,71.28
pizza,495,12.49,23.58,35.13
tea,488,14.41,21.59,34.41
burger,496,5.88,5.14,71.68
dal,182,22.92,8.38,74.64
cake,96,6.55,4.43,9.69
fried_rice,412,28.01,9.31,68.89
poha,332,21.46,11.94,47.36
salad,136,8.57,24.87,40.88
fish_fry,305,19.96,19.82,30.41
burger,439,18.87,20.4,47.14
tofu,410,9.55,8.5,10.8
pasta,431,4.54,21.49,40.84
chapati,416,15.61,17.92,41.7
chicken_curry,486,18.32,19.48,54.6
upma,134,6.22,21.27,52.71
tea,326,17.44,7.63,6.45
dosa,296,15.36,10.07,31.32
tofu,322,13.51,3.27,31.13
chapati,459,6.8,7.98,51.19
banana,495,21.81,14.81,36.68
cake,167,19.36,1.88,63.48
idli,388,3.58,19.9,10.07
fish_fry,156,26.96,8.34,21.28
sandwich,409,14.43,3.53,62.88
milk,55,12.29,21.65,77.16
rice,158,16.17,18.46,59.49
idli,73,24.53,11.85,79.59
dosa,348,3.31,12.8,9.44
apple,471,11.83,10.97,24.0
chicken_curry,233,4.54,4.73,23.68
apple,336,28.65,15.34,78.58
upma,53,18.04,19.67,32.6
coffee,127,14.58,13.24,23.16
dosa,297,20.71,2.77,44.35
sandwich,56,13.01,19.86,67.67
salad,82,15.59,23.79,61.95
chicken_curry,259,22.1,22.0,49.71
sandwich,490,7.37,13.49,37.82
poha,122,26.0,8.04,67.29
juice,116,23.97,1.73,45.9
cake,75,23.38,20.25,61.17
ice_cream,331,21.97,20.99,57.61
dal,468,28.19,18.5,6.13
fish_fry,466,1.39,7.63,26.12
fish_fry,110,28.8,23.6,56.55
pasta,176,23.76,24.01,38.02
sandwich,338,1.24,24.0,25.83
juice,82,14.27,7.46,30.72
dal,161,9.99,18.04,57.65
noodles,438,6.0,19.62,44.74
apple,121,1.93,6.32,37.03
fish_fry,216,5.4,1.45,43.48
fish_fry,410,27.78,20.17,33.24
dal,260,27.75,16.23,30.14
poha,118,18.86,11.21,69.48
sambar,193,14.28,12.33,35.69
apple,360,15.16,21.22,50.76
rice,271,26.02,16.51,77.2
apple,474,23.84,19.49,30.88
chicken_curry,210,20.11,12.34,55.22
orange,299,14.7,4.2,63.96
tea,445,9.36,7.27,77.48
poha,215,18.51,17.89,60.3
milk,488,1.72,12.29,15.62
fried_rice,121,1.79,9.43,28.41
dosa,240,22.29,2.12,6.8
idli,258,21.52,2.78,42.54
fish_fry,356,23.47,5.54,58.48
dosa,97,28.06,19.52,31.44
burger,226,8.86,17.64,62.17
apple,165,26.98,6.78,79.39
pizza,484,3.65,24.44,30.01
apple,471,5.1,16.13,6.25
burger,137,17.68,13.45,52.14
chicken_curry,315,1.23,15.74,27.08
noodles,106,25.21,2.46,57.14
juice,112,13.35,14.13,72.47
sandwich,135,14.47,21.9,55.59
upma,214,9.97,12.41,49.94
cake,459,4.52,7.7,72.8
poha,232,14.35,11.82,15.69
milk,106,11.01,21.37,43.9
tofu,106,1.8,1.85,74.84
dosa,390,19.87,2.25,66.2
dal,235,8.9,21.22,44.3
sandwich,365,2.66,16.15,69.12
burger,395,23.1,12.2,51.83
sambar,465,19.21,21.58,18.69
chicken_curry,129,24.6,9.99,47.33
chicken_curry,173,16.61,12.81,5.2
idli,341,12.27,13.82,32.32
tea,152,7.46,6.16,39.93
chapati,500,15.79,1.41,33.96
orange,254,7.33,5.44,28.84
pizza,377,27.24,14.35,5.47
rice,478,25.77,11.42,5.37
banana,405,28.74,7.25,76.96
chicken_curry,328,17.75,3.64,72.36
banana,301,9.84,3.53,68.33
sambar,227,1.95,24.94,72.53
egg_omelette,168,23.11,3.87,17.47
salad,242,21.5,9.0,11.82
milk,326,17.05,12.83,52.76
juice,352,9.1,13.49,27.46
banana,209,8.88,12.55,77.93
idli,486,14.76,1.48,64.24
burger,111,19.36,18.64,37.94
idli,484,21.5,23.93,36.78
